ID,Record ID,User ID,Charging Pile ID,Request ID,Start Time,End Time,Volume,Charging Fee,Service Fee,Total Fee
,CD1686029318095,2,B,e27c5034-8e61-4cb7-8e26-adfb7fceaf69,Tue Jun 06 2023 13:28:10 GMT+0800 (China Standard Time),Tue Jun 06 2023 13:28:38 GMT+0800 (China Standard Time),0.23065833333333333,0.23065833333333333,0.18452666666666667,0.415185
,CD1686030041699,3,B,d8386a1b-ad29-45ec-bb80-762ea84fd8f1,Tue Jun 06 2023 13:38:33 GMT+0800 (China Standard Time),Tue Jun 06 2023 13:40:41 GMT+0800 (China Standard Time),1,1,0.8,1.8
,CD1686030109355,1,A,5bd08be8-2197-4ca8-83b5-49bb13c2b612,Tue Jun 06 2023 13:21:41 GMT+0800 (China Standard Time),Tue Jun 06 2023 13:41:49 GMT+0800 (China Standard Time),1,1,0.8,1.8
,CD1686030731823,2,A,6b1e120f-2399-4ca6-b25b-1cc8e346bfdd,Tue Jun 06 2023 13:43:05 GMT+0800 (China Standard Time),Tue Jun 06 2023 13:52:11 GMT+0800 (China Standard Time),1,1,0.8,1.8
,CD1686031750048,3,B,f928eb67-fee8-465c-981c-36549827fca6,Tue Jun 06 2023 13:48:24 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:09:10 GMT+0800 (China Standard Time),10,10,8,18
,CD1686033071486,2,C,821da8b8-c103-41e3-9c38-396af1ef8b9a,Tue Jun 06 2023 14:30:55 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:31:11 GMT+0800 (China Standard Time),0.030492777777777782,0.030492777777777782,0.024394222222222227,0.054887000000000005
,CD1686033118175,2,C,d1254796-a490-4908-b95f-75e54f22bb27,Tue Jun 06 2023 14:31:25 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:31:58 GMT+0800 (China Standard Time),0.06381666666666667,0.06381666666666667,0.05105333333333334,0.11487000000000001
,CD1686033216147,2,C,bcc65a2a-7875-4947-8912-8c1530d3bdd2,Tue Jun 06 2023 14:32:42 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:33:36 GMT+0800 (China Standard Time),0.1,0.1,0.08000000000000002,0.18000000000000002
,CD1686033216155,2,C,bcc65a2a-7875-4947-8912-8c1530d3bdd2,Tue Jun 06 2023 14:32:42 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:33:36 GMT+0800 (China Standard Time),0.1,0.1,0.08000000000000002,0.18000000000000002
,CD1686034124999,2,C,046bd834-59d2-4f83-b54b-46aea3f6fd66,Tue Jun 06 2023 14:47:49 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:48:44 GMT+0800 (China Standard Time),0.1,0.1,0.08000000000000002,0.18000000000000002
,CD1686034125008,2,C,046bd834-59d2-4f83-b54b-46aea3f6fd66,Tue Jun 06 2023 14:47:49 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:48:45 GMT+0800 (China Standard Time),0.1,0.1,0.08000000000000002,0.18000000000000002
,CD1686034212503,2,C,d2fdb4a7-6447-40c3-98d8-98672ebb0136,Tue Jun 06 2023 14:49:55 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:50:12 GMT+0800 (China Standard Time),0.03248972222222222,0.03248972222222222,0.025991777777777777,0.05848149999999999
,CD1686034270159,5,B,2cec459b-e4b6-4d82-956b-9e761bb179ad,Tue Jun 06 2023 13:49:31 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:51:10 GMT+0800 (China Standard Time),10,10,8,18
,CD1686034270216,8,A,1c48aaa2-76d6-4428-bbd4-475d2197f9ad,Tue Jun 06 2023 13:49:06 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:51:10 GMT+0800 (China Standard Time),10,10,8,18
,CD1686036097393,2,B,bd6180b6-f60e-4f04-ba3c-0e582097e86a,Tue Jun 06 2023 15:11:15 GMT+0800 (China Standard Time),Tue Jun 06 2023 15:21:37 GMT+0800 (China Standard Time),5,3.5,4,7.5
,CD1686038034544,9,A,56e35e74-219e-4023-b143-48cac9cf273a,Tue Jun 06 2023 14:49:16 GMT+0800 (China Standard Time),Tue Jun 06 2023 15:53:54 GMT+0800 (China Standard Time),30,30,24,54
,CD1686038097292,9,A,66431c8e-34a1-4013-b0ea-85c1d6c451b9,Tue Jun 06 2023 15:54:03 GMT+0800 (China Standard Time),Tue Jun 06 2023 15:54:57 GMT+0800 (China Standard Time),0.44454166666666667,0.3111791666666667,0.35563333333333336,0.6668125
,CD1686038238943,9,A,3367b4f6-9f56-49ad-ad22-6c2b56c23049,Tue Jun 06 2023 15:55:16 GMT+0800 (China Standard Time),Tue Jun 06 2023 15:57:18 GMT+0800 (China Standard Time),1.0231166666666667,0.7161816666666666,0.8184933333333334,1.534675
,CD1686038869938,9,C,5c453444-53ff-4797-a2f2-4172501984b9,Tue Jun 06 2023 15:59:06 GMT+0800 (China Standard Time),Tue Jun 06 2023 16:07:49 GMT+0800 (China Standard Time),1.018264722222222,0.7127853055555554,0.8146117777777777,1.5273970833333332
,CD1686049173395,7,A,7a58ef9a-0f9e-4097-b50a-872265fc77e7,Tue Jun 06 2023 18:56:00 GMT+0800 (China Standard Time),Tue Jun 06 2023 18:59:33 GMT+0800 (China Standard Time),1.7780333333333334,1.7780333333333334,1.4224266666666667,3.20046
,CD1686411061640,12,B,c5e7580a-4ecf-44cb-b274-70d540eb8fdd,Sat Jun 10 2023 23:07:20 GMT+0800 (China Standard Time),Sat Jun 10 2023 23:31:01 GMT+0800 (China Standard Time),11,4.4,8.8,13.200000000000001
,CD1686418360300,2,A,0526834a-241e-4cf0-983e-fcb075e29d94,Sat Jun 10 2023 22:55:42 GMT+0800 (China Standard Time),Sun Jun 11 2023 01:32:40 GMT+0800 (China Standard Time),10,7,8,15
,CD1686421105280,12,B,a23869ff-8137-4698-ad60-41b81a5c3e56,Sun Jun 11 2023 00:45:56 GMT+0800 (China Standard Time),Sun Jun 11 2023 02:18:25 GMT+0800 (China Standard Time),11,4.4,8.8,13.200000000000001
,CD1686423314860,2,C,ace11019-548e-4336-aa31-7074436f5772,Sun Jun 11 2023 02:53:08 GMT+0800 (China Standard Time),Sun Jun 11 2023 02:55:14 GMT+0800 (China Standard Time),0.24620555555555562,0.09848222222222225,0.1969644444444445,0.29544666666666675
,CD1686424877300,2,B,1a44c1bc-11a8-4f16-8209-397c41641ab2,Sun Jun 11 2023 02:57:56 GMT+0800 (China Standard Time),Sun Jun 11 2023 03:21:17 GMT+0800 (China Standard Time),11,4.4,8.8,13.200000000000001
,CD1686426482860,12,A,a6febc63-1ba7-4341-abcb-adb35d2b5301,Sun Jun 11 2023 02:34:22 GMT+0800 (China Standard Time),Sun Jun 11 2023 03:48:02 GMT+0800 (China Standard Time),11,4.4,8.8,13.200000000000001
,CD1686430683340,2,C,2491d2f4-5342-4769-9400-820678e4b07e,Sun Jun 11 2023 03:31:57 GMT+0800 (China Standard Time),Sun Jun 11 2023 04:58:03 GMT+0800 (China Standard Time),10.044416666666667,4.017766666666667,8.035533333333333,12.0533
,CD1686440097240,12,A,90f303b9-1f2b-4db1-9be4-d91532c1fbb1,Sun Jun 11 2023 03:51:34 GMT+0800 (China Standard Time),Sun Jun 11 2023 07:34:57 GMT+0800 (China Standard Time),111,44.400000000000006,88.80000000000001,133.20000000000002
,CD1686450662660,12,B,5d5a6977-d423-4e9a-9115-c53a75fef1cc,Sun Jun 11 2023 09:00:54 GMT+0800 (China Standard Time),Sun Jun 11 2023 10:31:02 GMT+0800 (China Standard Time),45.065000000000005,31.5455,36.05200000000001,67.59750000000001
,CD1686107618074,11,B,635701c8-2944-439d-9562-35e686abd216,Sun Jun 11 2023 11:01:23 GMT+0800 (China Standard Time),Wed Jun 07 2023 11:13:38 GMT+0800 (China Standard Time),-2873.875716666667,0,-2299.1005733333336,-2299.1005733333336
,CD1686132768314,2,A,c4ed0151-4380-494f-aeb0-fe0083d714e7,Wed Jun 07 2023 12:36:19 GMT+0800 (China Standard Time),Wed Jun 07 2023 18:12:48 GMT+0800 (China Standard Time),168.23783333333333,168.23783333333333,134.59026666666668,302.8281
,CD1686110256460,16,C,f8b4c089-180e-49e5-b4e5-7bda78e71943,Wed Jun 07 2023 06:00:34 GMT+0800 (China Standard Time),Wed Jun 07 2023 11:57:36 GMT+0800 (China Standard Time),40,16,32,48
,CD1686089681100,18,D,a9c9a01c-201d-4414-8dcd-d69399b69308,Wed Jun 07 2023 06:13:43 GMT+0800 (China Standard Time),Wed Jun 07 2023 06:14:41 GMT+0800 (China Standard Time),0.11127083333333335,0.044508333333333344,0.08901666666666669,0.13352500000000003
,CD1686089692020,20,A,507c5fb4-27e2-404a-8afa-bbc3348f9ad6,Wed Jun 07 2023 06:06:57 GMT+0800 (China Standard Time),Wed Jun 07 2023 06:14:52 GMT+0800 (China Standard Time),3.9512500000000004,1.5805000000000002,3.1610000000000005,4.7415
,CD1686092051685,16,C,14692db0-065f-47f5-9bd8-9b67452e5017,Wed Jun 07 2023 06:00:21 GMT+0800 (China Standard Time),Wed Jun 07 2023 06:54:11 GMT+0800 (China Standard Time),6.280225000000001,2.5120900000000006,5.024180000000001,7.536270000000002
,CD1686121626990,20,A,9fc47bae-d1b6-4b9b-add5-226b1cd4c6fc,Wed Jun 07 2023 14:53:20 GMT+0800 (China Standard Time),Wed Jun 07 2023 15:07:06 GMT+0800 (China Standard Time),6.889875,6.889875,5.511900000000001,12.401775
,CD1686127059540,19,B,64a4ca61-062c-44c7-a8a2-e6ef905431b8,Wed Jun 07 2023 15:00:24 GMT+0800 (China Standard Time),Wed Jun 07 2023 16:37:39 GMT+0800 (China Standard Time),48.626,34.038199999999996,38.900800000000004,72.939
,CD1686132550995,16,A,efe03c84-0d6a-4c2f-8bc1-e4b19143f55c,Wed Jun 07 2023 15:42:16 GMT+0800 (China Standard Time),Wed Jun 07 2023 18:09:10 GMT+0800 (China Standard Time),73.45712499999999,51.41998749999999,58.765699999999995,110.18568749999999
,CD1686138853380,20,B,032f4c98-53cc-4109-9ed3-208436c05409,Wed Jun 07 2023 15:49:03 GMT+0800 (China Standard Time),Wed Jun 07 2023 19:54:13 GMT+0800 (China Standard Time),122.58562499999998,85.80993749999998,98.06849999999999,183.87843749999996
,CD1686141039600,16,A,2eab8a9f-2f67-4bd0-9fab-d974a1b363ea,Wed Jun 07 2023 19:25:17 GMT+0800 (China Standard Time),Wed Jun 07 2023 20:30:39 GMT+0800 (China Standard Time),32.681625000000004,32.681625000000004,26.145300000000006,58.82692500000001
,CD1686153876330,17,A,c50a62d0-4eed-4ca3-b91f-2a6c692db3e3,Wed Jun 07 2023 20:21:45 GMT+0800 (China Standard Time),Thu Jun 08 2023 00:04:36 GMT+0800 (China Standard Time),111.42049999999999,111.42049999999999,89.1364,200.55689999999998
,CD1686161833605,1,C,306c1b06-24ae-4e12-b8d5-3844e5d2f280,Thu Jun 08 2023 02:12:55 GMT+0800 (China Standard Time),Thu Jun 08 2023 02:17:13 GMT+0800 (China Standard Time),0.5011124999999998,0.20044499999999996,0.4008899999999999,0.6013349999999998
,CD1686162467235,1,C,7718a80c-32b8-4ee9-852d-f43d5b6c1fe8,Thu Jun 08 2023 02:24:16 GMT+0800 (China Standard Time),Thu Jun 08 2023 02:27:47 GMT+0800 (China Standard Time),0.4106375,0.164255,0.32851,0.492765
,CD1686168962250,1,C,20d536cf-108f-4d20-bf81-11e36e8d6b56,Thu Jun 08 2023 03:53:52 GMT+0800 (China Standard Time),Thu Jun 08 2023 04:16:02 GMT+0800 (China Standard Time),2.5855375,1.034215,2.06843,3.1026450000000003
,CD1686173092185,1,B,ec624af5-f9d8-458a-848a-ce73cdeb69ba,Thu Jun 08 2023 05:16:47 GMT+0800 (China Standard Time),Thu Jun 08 2023 05:24:52 GMT+0800 (China Standard Time),4.040125,1.61605,3.2321,4.84815
,CD1686174596985,1,B,08b3d67d-5a60-4609-be83-8500344665eb,Thu Jun 08 2023 05:44:11 GMT+0800 (China Standard Time),Thu Jun 08 2023 05:49:56 GMT+0800 (China Standard Time),2.8773750000000002,1.1509500000000001,2.3019000000000003,3.4528500000000006
,CD1686174798405,21,B,42e08887-7d7b-4913-bb4d-48959b33d991,Thu Jun 08 2023 05:48:56 GMT+0800 (China Standard Time),Thu Jun 08 2023 05:53:18 GMT+0800 (China Standard Time),2.18425,0.8737,1.7474,2.6211
,CD1686179431140,21,B,aa292bf5-d1d4-4f3c-ac7e-7e8ef175f4f8,Thu Jun 08 2023 07:08:10 GMT+0800 (China Standard Time),Thu Jun 08 2023 07:10:31 GMT+0800 (China Standard Time),1.1715000000000002,0.8200500000000001,0.9372000000000003,1.7572500000000004
,CD1686179949375,21,B,25be1f54-4cf6-4cc6-b170-48db9e625d58,Thu Jun 08 2023 07:17:51 GMT+0800 (China Standard Time),Thu Jun 08 2023 07:19:09 GMT+0800 (China Standard Time),0.645875,0.4521125,0.5167,0.9688125000000001
,CD1686181158810,21,C,aa4bb22f-0d7e-4fbf-87c8-a58304f3fca2,Thu Jun 08 2023 07:30:22 GMT+0800 (China Standard Time),Thu Jun 08 2023 07:39:18 GMT+0800 (China Standard Time),1.0432916666666665,0.7303041666666665,0.8346333333333332,1.5649374999999996
,CD1686212019285,5,A,b137495f-b3a1-41da-b234-09d746c9ce90,Thu Jun 08 2023 14:38:43 GMT+0800 (China Standard Time),Thu Jun 08 2023 16:13:39 GMT+0800 (China Standard Time),2,2,1.6,3.6
,CD1686212814495,6,C,6ec3b512-1a0d-4281-a740-ac894ae386a6,Thu Jun 08 2023 15:21:41 GMT+0800 (China Standard Time),Thu Jun 08 2023 16:26:54 GMT+0800 (China Standard Time),3,2.0999999999999996,2.4000000000000004,4.5
,CD1686254495025,1,A,f2d18a23-b0fd-4895-90c7-6f5d77fc6626,Fri Jun 09 2023 04:00:42 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:01:35 GMT+0800 (China Standard Time),0.43812500000000004,0.17525000000000002,0.35050000000000003,0.52575
,CD1686254727345,1,A,2947e27e-5a50-4f9c-ae9a-4d9414e5d6b8,Fri Jun 09 2023 04:02:05 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:05:27 GMT+0800 (China Standard Time),1.68125,0.6725,1.345,2.0175
,CD1686254796555,1,A,cd52d72a-1000-4dc4-a764-2beaeedde709,Fri Jun 09 2023 04:05:56 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:06:36 GMT+0800 (China Standard Time),0.33175000000000004,0.1327,0.2654,0.3981
,CD1686255102165,1,A,70c8e772-8a67-4e8f-9163-2fdd56f9fe4a,Fri Jun 09 2023 04:06:59 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:11:42 GMT+0800 (China Standard Time),2.3586250000000004,0.9434500000000002,1.8869000000000005,2.8303500000000006
,CD1686255150375,1,A,66156b2d-9425-418d-9248-4183b6a873c6,Fri Jun 09 2023 04:12:04 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:12:30 GMT+0800 (China Standard Time),0.21725,0.0869,0.1738,0.26070000000000004
,CD1686255312900,1,A,1ef6c045-183a-496e-9ac6-f8901e130464,Fri Jun 09 2023 04:12:49 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:15:12 GMT+0800 (China Standard Time),1.191125,0.47645000000000004,0.9529000000000001,1.4293500000000001
,CD1686255337215,1,A,6adc7c6c-4b89-415f-a035-e6e1a6cf8fc0,Fri Jun 09 2023 04:15:36 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:15:37 GMT+0800 (China Standard Time),0.00875,0.0035000000000000005,0.007000000000000001,0.010500000000000002
,CD1686255544770,1,A,779ea0f3-e831-418c-8934-a1eb16deb12e,Fri Jun 09 2023 04:15:57 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:19:04 GMT+0800 (China Standard Time),1.559375,0.62375,1.2475,1.87125
,CD1686255626430,1,A,8e623f51-f5bc-4df9-8260-cad51b5c92bd,Fri Jun 09 2023 04:19:25 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:20:26 GMT+0800 (China Standard Time),0.5065000000000001,0.20260000000000003,0.40520000000000006,0.6078000000000001
,CD1686256565790,1,A,830411aa-8e00-4023-9ec5-2aea582ea17c,Fri Jun 09 2023 04:20:46 GMT+0800 (China Standard Time),Fri Jun 09 2023 04:36:05 GMT+0800 (China Standard Time),7.6625000000000005,3.0650000000000004,6.130000000000001,9.195
,CD1686262715520,26,C,046475df-f746-4ed7-824c-20e70e9382c3,Fri Jun 09 2023 05:35:42 GMT+0800 (China Standard Time),Fri Jun 09 2023 06:18:35 GMT+0800 (China Standard Time),5,2,4,6
,CD1686357371632,26,D,f784179a-f62a-4c68-85c1-7358ea287efb,Sat Jun 10 2023 07:51:49 GMT+0800 (China Standard Time),Sat Jun 10 2023 08:36:11 GMT+0800 (China Standard Time),5,3.5,4,7.5
,CD1686357475932,26,C,47e66534-c0d9-4cc4-bb0b-4882abd1772b,Sat Jun 10 2023 07:51:49 GMT+0800 (China Standard Time),Sat Jun 10 2023 08:37:55 GMT+0800 (China Standard Time),5,3.5,4,7.5
,CD1686361763872,1,C,6128e61a-839d-442c-bf1d-eaa93bc713f7,Fri Jun 09 2023 08:26:53 GMT+0800 (China Standard Time),Sat Jun 10 2023 09:49:23 GMT+0800 (China Standard Time),20,14,16,30
,CD1686399720932,31,B,79684ab5-24a0-488a-8f6a-0627380c998c,Sat Jun 10 2023 20:12:57 GMT+0800 (China Standard Time),Sat Jun 10 2023 20:22:00 GMT+0800 (China Standard Time),4.524333333333333,4.524333333333333,3.6194666666666664,8.143799999999999
,CD1686402732232,31,A,75781b7b-3fe0-40ef-91cd-e6ec0e22a270,Sat Jun 10 2023 21:06:42 GMT+0800 (China Standard Time),Sat Jun 10 2023 21:12:12 GMT+0800 (China Standard Time),2.746166666666667,1.9223166666666667,2.1969333333333334,4.11925
,CD1686184290620,35,A,1cf163f4-c078-4c33-aedf-b92105011f92,Thu Jun 08 2023 07:59:51 GMT+0800 (China Standard Time),Thu Jun 08 2023 08:31:30 GMT+0800 (China Standard Time),15.824166666666667,11.076916666666666,12.659333333333334,23.73625
,CD1686184762660,35,C,0f01f3f9-0736-48fb-9c85-c241256306cc,Thu Jun 08 2023 08:35:35 GMT+0800 (China Standard Time),Thu Jun 08 2023 08:39:22 GMT+0800 (China Standard Time),0.4415055555555556,0.3090538888888889,0.3532044444444445,0.6622583333333334
,CD1686185073360,35,D,resume45-5b25-4f5d-8000-8b1eb68c3b52,Thu Jun 08 2023 08:39:22 GMT+0800 (China Standard Time),Thu Jun 08 2023 08:44:33 GMT+0800 (China Standard Time),0.6034777777777778,0.42243444444444445,0.4827822222222222,0.9052166666666667
,CD1686191490680,37,E,bd04debe-83e3-4b05-b5e7-b9a6bb07e4d8,Thu Jun 08 2023 10:24:44 GMT+0800 (China Standard Time),Thu Jun 08 2023 10:31:30 GMT+0800 (China Standard Time),0.7906111111111112,0.7906111111111112,0.632488888888889,1.4231000000000003
,CD1686193440280,37,E,resume7f-73e8-4114-842d-95f879ba2b1c,Thu Jun 08 2023 10:31:30 GMT+0800 (China Standard Time),Thu Jun 08 2023 11:04:00 GMT+0800 (China Standard Time),3.790577777777778,3.790577777777778,3.0324622222222226,6.823040000000001
,CD1686194057760,37,C,0d42c984-00fc-4ea9-9172-e2c62547910e,Thu Jun 08 2023 11:08:30 GMT+0800 (China Standard Time),Thu Jun 08 2023 11:14:17 GMT+0800 (China Standard Time),0.6743333333333333,0.6743333333333333,0.5394666666666666,1.2138
,CD1686194393300,37,C,resume6f-0809-4c27-a876-9940d2aa6077,Thu Jun 08 2023 11:14:17 GMT+0800 (China Standard Time),Thu Jun 08 2023 11:19:53 GMT+0800 (China Standard Time),0.6521666666666667,0.6521666666666667,0.5217333333333334,1.1739000000000002
,CD1686178244720,38,A,90e76114-6b72-4960-bdef-58b69f35b87e,Thu Jun 08 2023 06:47:03 GMT+0800 (China Standard Time),Thu Jun 08 2023 06:50:44 GMT+0800 (China Standard Time),1.8405,0.7362000000000001,1.4724000000000002,2.2086
,CD1686179580560,38,A,373886a5-feff-4196-a203-04d581c08727,Thu Jun 08 2023 06:55:24 GMT+0800 (China Standard Time),Thu Jun 08 2023 07:13:00 GMT+0800 (China Standard Time),8.804499999999999,3.5218,7.0436,10.5654
,CD1686179775080,38,B,resume49-7357-4fc4-a223-98500930c822,Thu Jun 08 2023 07:13:00 GMT+0800 (China Standard Time),Thu Jun 08 2023 07:16:15 GMT+0800 (China Standard Time),1.6181666666666668,1.1327166666666666,1.2945333333333335,2.42725
,CD1686181321780,38,A,435eeb42-7fc7-49c6-9bf3-adb1ab1f6088,Thu Jun 08 2023 07:24:55 GMT+0800 (China Standard Time),Thu Jun 08 2023 07:42:01 GMT+0800 (China Standard Time),8.5525,5.98675,6.8420000000000005,12.82875
,CD1686181711460,40,B,9d53c3e8-7c35-4fbd-823a-49fe5e36995c,Thu Jun 08 2023 07:40:02 GMT+0800 (China Standard Time),Thu Jun 08 2023 07:48:31 GMT+0800 (China Standard Time),4.238166666666666,2.9667166666666662,3.3905333333333334,6.35725
